county_name,FIPS,711
Alameda,1,224
Alpine,3,1
Amador,5,4
Butte,7,15
Calaveras,9,0
Colusa,11,0
Contra Costa,13,106
Del Norte,15,0
El Dorado,17,20
Fresno,19,39
Glenn,21,2
Humboldt,23,9
Imperial,25,1
Inyo,27,5
Kern,29,30
Kings,31,2
Lake,33,1
Lassen,35,2
Los Angeles,37,13577
Madera,39,9
Marin,41,132
Mariposa,43,2
Mendocino,45,14
Merced,47,4
Modoc,49,1
Mono,51,2
Monterey,53,47
Napa,55,16
Nevada,57,16
Orange,59,510
Placer,61,31
Plumas,63,1
Riverside,65,174
Sacramento,67,98
San Benito,69,5
San Bernardino,71,109
San Diego,73,469
San Francisco,75,315
San Joaquin,77,18
San Luis Obispo,79,36
San Mateo,81,92
Santa Barbara,83,125
Santa Clara,85,149
Santa Cruz,87,49
Shasta,89,10
Sierra,91,1
Siskiyou,93,4
Solano,95,22
Sonoma,97,88
Stanislaus,99,15
Sutter,101,1
Tehama,103,4
Trinity,105,2
Tulare,107,9
Tuolumne,109,7
Ventura,111,258
Yolo,113,13
Yuba,115,6