FIPS,State,County,per_acc_ex,num_phys,num_dent,num_men_prov,per_unemploy,air_quality,per_lim_acc_food
06000,California,,90,30551,32322,120971,5.4,8.0,3
06001,California,Alameda,98,1719,1505,9066,4.2,9.0,1
06003,California,Alpine,100,0,0,5,6.5,4.9,12
06005,California,Amador,88,21,28,73,5.9,7.9,4
06007,California,Butte,73,139,162,1286,6.5,8.1,7
06009,California,Calaveras,76,22,20,69,5.6,7.8,3
06011,California,Colusa,70,8,8,38,15.5,7.1,3
06013,California,Contra Costa,89,1125,960,3500,4.4,7.7,3
06015,California,Del Norte,78,18,22,104,7.5,5.8,14
06017,California,El Dorado,85,138,147,544,5.1,8.1,6
06019,California,Fresno,79,636,581,2873,9.4,14.3,4
06021,California,Glenn,49,7,20,32,8.2,7.2,4
06023,California,Humboldt,70,90,110,520,4.9,6.0,6
06025,California,Imperial,67,38,60,217,23.5,10.3,9
06027,California,Inyo,49,19,12,70,5.2,5.8,12
06029,California,Kern,78,433,418,1442,10.3,13.9,5
06031,California,Kings,45,62,86,279,10.0,13.5,5
06033,California,Lake,75,33,29,213,6.6,5.5,9
06035,California,Lassen,54,13,34,92,6.9,7.1,7
06037,California,Los Angeles,94,7310,8452,29595,5.2,14.4,2
06039,California,Madera,74,62,67,221,9.2,11.8,9
06041,California,Marin,94,382,295,1829,3.2,7.6,2
06043,California,Mariposa,59,6,9,42,6.9,8.0,6
06045,California,Mendocino,65,79,68,483,5.2,5.8,7
06047,California,Merced,48,125,118,372,10.5,10.4,7
06049,California,Modoc,35,6,7,28,7.8,6.2,12
06051,California,Mono,92,7,7,27,5.3,5.4,15
06053,California,Monterey,90,255,300,1298,7.6,7.6,3
06055,California,Napa,82,139,120,662,4.3,7.5,2
06057,California,Nevada,62,80,86,618,4.7,6.7,7
06059,California,Orange,97,3009,3436,7198,4.0,10.9,1
06061,California,Placer,78,449,402,1008,4.4,8.7,3
06063,California,Plumas,98,18,19,45,9.6,8.8,2
06065,California,Riverside,88,992,1192,4142,6.1,15.4,7
06067,California,Sacramento,91,1224,1148,5142,5.4,9.9,4
06069,California,San Benito,85,20,31,55,6.8,7.7,3
06071,California,San Bernardino,84,1215,1460,4156,5.7,14.2,8
06073,California,San Diego,93,2589,2825,10470,4.7,11.6,3
06075,California,San Francisco,100,1371,1291,7401,3.3,8.2,0
06077,California,San Joaquin,73,428,414,1499,8.1,9.7,5
06079,California,San Luis Obispo,90,240,229,1502,4.3,8.7,4
06081,California,San Mateo,96,787,774,2547,3.0,8.1,1
06083,California,Santa Barbara,97,336,352,2057,5.0,8.0,3
06085,California,Santa Clara,93,1972,2161,5841,3.8,8.8,1
06087,California,Santa Cruz,94,267,218,1826,6.9,7.9,4
06089,California,Shasta,78,131,130,499,6.9,7.3,9
06091,California,Sierra,70,1,2,5,7.6,5.6,28
06093,California,Siskiyou,74,36,28,167,8.5,6.6,10
06095,California,Solano,93,360,405,1495,5.5,8.5,3
06097,California,Sonoma,89,501,437,2082,4.0,6.8,4
06099,California,Stanislaus,88,353,330,993,8.5,10.0,5
06101,California,Sutter,26,79,72,257,9.6,7.1,11
06103,California,Tehama,53,27,34,103,7.1,7.3,10
06105,California,Trinity,89,3,6,53,7.1,5.6,7
06107,California,Tulare,59,199,230,1086,11.0,13.7,8
06109,California,Tuolumne,77,46,63,77,6.2,7.6,10
06111,California,Ventura,97,653,752,2781,5.2,10.2,3
06113,California,Yolo,90,256,124,722,5.8,8.7,2
06115,California,Yuba,50,17,26,133,8.5,8.0,12